gene,cancer_type,tumor_expression,survival_association,geo_validation,depmap_dependency,normal_tissue_safety,mutation_cna_support,novelty_score,notes
MKI67,GBM,positive,negative,partial,strong,moderate,weak,low,Proliferation marker; strong biological signal but low novelty.
SMARCB1,Colorectal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCB1 in Colorectal cancer; pathway context: Chromatin remodeling.
TERT,Colorectal cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: TERT in Colorectal cancer; pathway context: Telomere maintenance.
TGFBR2,Colorectal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TGFBR2 in Colorectal cancer; pathway context: TGF-beta signaling.
TP53,Colorectal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TP53 in Colorectal cancer; pathway context: Tumor-suppressor pathway.
TROP2,Colorectal cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: TROP2 in Colorectal cancer; pathway context: Tumor antigen.
VEGFA,Colorectal cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: VEGFA in Colorectal cancer; pathway context: Angiogenesis / microenvironment.
AKT1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Diffuse large B-cell lymphoma; pathway context: PI3K-AKT signaling.
APC,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Diffuse large B-cell lymphoma; pathway context: WNT signaling.
ARID1A,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Diffuse large B-cell lymphoma; pathway context: Chromatin remodeling.
ARID1B,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Diffuse large B-cell lymphoma; pathway context: Chromatin remodeling.
ATM,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Diffuse large B-cell lymphoma; pathway context: DNA damage response.
ATR,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Diffuse large B-cell lymphoma; pathway context: DNA damage response.
B2M,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Diffuse large B-cell lymphoma; pathway context: Antigen presentation.
BCL2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BCL2 in Diffuse large B-cell lymphoma; pathway context: Apoptosis.
BCL6,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BCL6 in Diffuse large B-cell lymphoma; pathway context: B-cell lineage state.
BRAF,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Diffuse large B-cell lymphoma; pathway context: MAPK signaling.
BRCA1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Diffuse large B-cell lymphoma; pathway context: DNA repair / HRD.
BRCA2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA2 in Diffuse large B-cell lymphoma; pathway context: DNA repair / HRD.
CCND1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND1 in Diffuse large B-cell lymphoma; pathway context: Cell cycle.
CD19,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD19 in Diffuse large B-cell lymphoma; pathway context: Tumor antigen.
CD274,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD274 in Diffuse large B-cell lymphoma; pathway context: Immune checkpoint.
CD276,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD276 in Diffuse large B-cell lymphoma; pathway context: Immune checkpoint / tumor antigen.
CD79B,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CD79B in Diffuse large B-cell lymphoma; pathway context: BCR signaling.
CDK4,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK4 in Diffuse large B-cell lymphoma; pathway context: Cell cycle.
CDK6,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK6 in Diffuse large B-cell lymphoma; pathway context: Cell cycle.
CDKN2A,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2A in Diffuse large B-cell lymphoma; pathway context: Cell cycle.
CDKN2B,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2B in Diffuse large B-cell lymphoma; pathway context: Cell cycle.
CHEK1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CHEK1 in Diffuse large B-cell lymphoma; pathway context: DNA damage response.
CHEK2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CHEK2 in Diffuse large B-cell lymphoma; pathway context: DNA damage response.
CLDN18,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CLDN18 in Diffuse large B-cell lymphoma; pathway context: Epithelial antigen / tight junction.
CREBBP,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CREBBP in Diffuse large B-cell lymphoma; pathway context: Epigenetic regulation.
CTNNB1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CTNNB1 in Diffuse large B-cell lymphoma; pathway context: WNT signaling.
EGFR,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: EGFR in Diffuse large B-cell lymphoma; pathway context: RTK signaling.
EP300,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: EP300 in Diffuse large B-cell lymphoma; pathway context: Epigenetic regulation.
EPCAM,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: EPCAM in Diffuse large B-cell lymphoma; pathway context: Epithelial antigen / adhesion.
ERBB2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB2 in Diffuse large B-cell lymphoma; pathway context: RTK signaling.
ERBB3,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB3 in Diffuse large B-cell lymphoma; pathway context: RTK signaling.
EZH2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: EZH2 in Diffuse large B-cell lymphoma; pathway context: Epigenetic regulation.
FBXW7,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: FBXW7 in Diffuse large B-cell lymphoma; pathway context: Protein turnover.
HIF1A,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: HIF1A in Diffuse large B-cell lymphoma; pathway context: Hypoxia / angiogenesis.
HRAS,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: HRAS in Diffuse large B-cell lymphoma; pathway context: RAS-MAPK signaling.
JAK1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK1 in Diffuse large B-cell lymphoma; pathway context: JAK-STAT / immune signaling.
JAK2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK2 in Diffuse large B-cell lymphoma; pathway context: JAK-STAT / immune signaling.
KEAP1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: KEAP1 in Diffuse large B-cell lymphoma; pathway context: Oxidative stress / NRF2.
KMT2C,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2C in Diffuse large B-cell lymphoma; pathway context: Epigenetic regulation.
KMT2D,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2D in Diffuse large B-cell lymphoma; pathway context: Epigenetic regulation.
KRAS,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: KRAS in Diffuse large B-cell lymphoma; pathway context: RAS-MAPK signaling.
MDM2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM2 in Diffuse large B-cell lymphoma; pathway context: p53 pathway.
MDM4,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM4 in Diffuse large B-cell lymphoma; pathway context: p53 pathway.
MET,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MET in Diffuse large B-cell lymphoma; pathway context: RTK signaling.
MLH1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MLH1 in Diffuse large B-cell lymphoma; pathway context: Mismatch repair / MSI.
MSH2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH2 in Diffuse large B-cell lymphoma; pathway context: Mismatch repair / MSI.
MSH6,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH6 in Diffuse large B-cell lymphoma; pathway context: Mismatch repair / MSI.
MSLN,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MSLN in Diffuse large B-cell lymphoma; pathway context: Tumor antigen / adhesion.
MTOR,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: MTOR in Diffuse large B-cell lymphoma; pathway context: PI3K-AKT-mTOR signaling.
MUC1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC1 in Diffuse large B-cell lymphoma; pathway context: Epithelial antigen / mucin biology.
MUC16,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC16 in Diffuse large B-cell lymphoma; pathway context: Epithelial antigen / mucin biology.
MYC,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MYC in Diffuse large B-cell lymphoma; pathway context: MYC/proliferation program.
MYD88,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MYD88 in Diffuse large B-cell lymphoma; pathway context: NF-kB / immune signaling.
NECTIN4,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: NECTIN4 in Diffuse large B-cell lymphoma; pathway context: Tumor antigen.
NFE2L2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NFE2L2 in Diffuse large B-cell lymphoma; pathway context: Oxidative stress / NRF2.
NOTCH1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: NOTCH1 in Diffuse large B-cell lymphoma; pathway context: Notch signaling.
NOTCH2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NOTCH2 in Diffuse large B-cell lymphoma; pathway context: Notch signaling.
NRAS,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NRAS in Diffuse large B-cell lymphoma; pathway context: RAS-MAPK signaling.
PALB2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PALB2 in Diffuse large B-cell lymphoma; pathway context: DNA repair / HRD.
PDCD1LG2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: PDCD1LG2 in Diffuse large B-cell lymphoma; pathway context: Immune checkpoint.
PIK3CA,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: PIK3CA in Diffuse large B-cell lymphoma; pathway context: PI3K-AKT signaling.
PIK3R1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PIK3R1 in Diffuse large B-cell lymphoma; pathway context: PI3K-AKT signaling.
PMS2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PMS2 in Diffuse large B-cell lymphoma; pathway context: Mismatch repair / MSI.
PTEN,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PTEN in Diffuse large B-cell lymphoma; pathway context: PI3K-AKT signaling.
RAD51,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RAD51 in Diffuse large B-cell lymphoma; pathway context: DNA repair / HRD.
RB1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RB1 in Diffuse large B-cell lymphoma; pathway context: Cell cycle.
SMAD4,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMAD4 in Diffuse large B-cell lymphoma; pathway context: TGF-beta signaling.
SMARCA4,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCA4 in Diffuse large B-cell lymphoma; pathway context: Chromatin remodeling.
SMARCB1,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCB1 in Diffuse large B-cell lymphoma; pathway context: Chromatin remodeling.
TERT,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: TERT in Diffuse large B-cell lymphoma; pathway context: Telomere maintenance.
TGFBR2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TGFBR2 in Diffuse large B-cell lymphoma; pathway context: TGF-beta signaling.
TP53,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TP53 in Diffuse large B-cell lymphoma; pathway context: Tumor-suppressor pathway.
TROP2,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: TROP2 in Diffuse large B-cell lymphoma; pathway context: Tumor antigen.
VEGFA,Diffuse large B-cell lymphoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: VEGFA in Diffuse large B-cell lymphoma; pathway context: Angiogenesis / microenvironment.
AKT1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Endometrial cancer; pathway context: PI3K-AKT signaling.
APC,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Endometrial cancer; pathway context: WNT signaling.
ARID1A,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Endometrial cancer; pathway context: Chromatin remodeling.
ARID1B,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Endometrial cancer; pathway context: Chromatin remodeling.
ATM,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Endometrial cancer; pathway context: DNA damage response.
ATR,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Endometrial cancer; pathway context: DNA damage response.
B2M,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Endometrial cancer; pathway context: Antigen presentation.
BRAF,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Endometrial cancer; pathway context: MAPK signaling.
BRCA1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Endometrial cancer; pathway context: DNA repair / HRD.
BRCA2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA2 in Endometrial cancer; pathway context: DNA repair / HRD.
CCND1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND1 in Endometrial cancer; pathway context: Cell cycle.
CD274,Endometrial cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD274 in Endometrial cancer; pathway context: Immune checkpoint.
CD276,Endometrial cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD276 in Endometrial cancer; pathway context: Immune checkpoint / tumor antigen.
CDK4,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK4 in Endometrial cancer; pathway context: Cell cycle.
CDK6,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK6 in Endometrial cancer; pathway context: Cell cycle.
CDKN2A,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2A in Endometrial cancer; pathway context: Cell cycle.
CDKN2B,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2B in Endometrial cancer; pathway context: Cell cycle.
CHEK1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CHEK1 in Endometrial cancer; pathway context: DNA damage response.
CHEK2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CHEK2 in Endometrial cancer; pathway context: DNA damage response.
CLDN18,Endometrial cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CLDN18 in Endometrial cancer; pathway context: Epithelial antigen / tight junction.
CREBBP,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CREBBP in Endometrial cancer; pathway context: Epigenetic regulation.
CTNNB1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CTNNB1 in Endometrial cancer; pathway context: WNT signaling.
EGFR,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: EGFR in Endometrial cancer; pathway context: RTK signaling.
EP300,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: EP300 in Endometrial cancer; pathway context: Epigenetic regulation.
EPCAM,Endometrial cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: EPCAM in Endometrial cancer; pathway context: Epithelial antigen / adhesion.
ERBB2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB2 in Endometrial cancer; pathway context: RTK signaling.
ERBB3,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB3 in Endometrial cancer; pathway context: RTK signaling.
FBXW7,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: FBXW7 in Endometrial cancer; pathway context: Protein turnover.
FGFR2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: FGFR2 in Endometrial cancer; pathway context: RTK signaling.
HIF1A,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: HIF1A in Endometrial cancer; pathway context: Hypoxia / angiogenesis.
HRAS,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: HRAS in Endometrial cancer; pathway context: RAS-MAPK signaling.
JAK1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK1 in Endometrial cancer; pathway context: JAK-STAT / immune signaling.
JAK2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK2 in Endometrial cancer; pathway context: JAK-STAT / immune signaling.
KEAP1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: KEAP1 in Endometrial cancer; pathway context: Oxidative stress / NRF2.
KMT2C,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2C in Endometrial cancer; pathway context: Epigenetic regulation.
KMT2D,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2D in Endometrial cancer; pathway context: Epigenetic regulation.
KRAS,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: KRAS in Endometrial cancer; pathway context: RAS-MAPK signaling.
MDM2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM2 in Endometrial cancer; pathway context: p53 pathway.
MDM4,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM4 in Endometrial cancer; pathway context: p53 pathway.
MET,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MET in Endometrial cancer; pathway context: RTK signaling.
